mother_has_secondary_education,mother_has_college_education,birth_month_num,birth_month_name,gender,internet_connection,repeated_secondary,score_math,n_students_in_school
1.0,1.0,9,September,Male,Yes,"No, never",468.233,75.0
1.0,1.0,8,August,Female,Yes,"No, never",539.3369,75.0
1.0,1.0,11,November,Female,Yes,"No, never",619.6046,75.0
1.0,1.0,5,May,Male,Yes,"No, never",406.1378,75.0
1.0,1.0,2,February,Female,Yes,"No, never",508.2389,75.0
1.0,,2,February,Male,Yes,"No, never",625.4541,75.0
1.0,0.0,5,May,Female,Yes,"No, never",610.9015999999999,75.0
1.0,0.0,3,March,Female,Yes,"No, never",491.4945000000001,75.0
1.0,1.0,11,November,Female,Yes,"No, never",595.5206000000001,75.0
1.0,1.0,7,July,Male,Yes,"No, never",458.4429999999999,75.0
1.0,0.0,5,May,Male,Yes,"No, never",605.4379999999999,75.0
1.0,1.0,1,January,Female,Yes,"No, never",469.7476,75.0
0.0,0.0,9,September,Female,Yes,"Yes, once",295.31870000000004,75.0
1.0,0.0,10,October,Female,Yes,"No, never",539.1587,75.0
1.0,1.0,9,September,Male,Yes,"No, never",571.6617,75.0
1.0,1.0,5,May,Male,Yes,"No, never",561.2288000000001,75.0
1.0,0.0,7,July,Female,Yes,"Yes, twice or more",404.018,75.0
1.0,1.0,6,June,Female,Yes,"No, never",517.9875,75.0
1.0,1.0,3,March,Female,Yes,"Yes, once",445.9084,75.0
1.0,0.0,9,September,Female,Yes,"No, never",566.3087,75.0
1.0,1.0,4,April,Male,Yes,"No, never",539.9876,75.0
1.0,0.0,11,November,Male,Yes,"No, never",527.2193,75.0
1.0,1.0,10,October,Female,Yes,"No, never",600.3943999999999,75.0
1.0,1.0,8,August,Female,Yes,"No, never",559.6485,75.0
1.0,1.0,11,November,Male,Yes,"No, never",442.7139,75.0
1.0,1.0,10,October,Female,Yes,"No, never",504.72110000000004,75.0
1.0,1.0,10,October,Female,Yes,"No, never",505.5678,75.0
1.0,1.0,6,June,Female,Yes,"No, never",449.1914,75.0
1.0,1.0,1,January,Female,Yes,"No, never",523.6285,75.0
1.0,1.0,10,October,Male,Yes,"Yes, once",416.77139999999997,75.0
1.0,1.0,6,June,Male,Yes,"No, never",482.2897,75.0
1.0,0.0,6,June,Female,Yes,"No, never",517.0687,75.0
1.0,0.0,10,October,Male,Yes,"Yes, once",322.3652,75.0
1.0,1.0,12,December,Male,Yes,"No, never",529.2626,75.0
1.0,1.0,8,August,Male,Yes,"No, never",538.9465,75.0
1.0,1.0,6,June,Female,Yes,"Yes, once",420.60300000000007,75.0
1.0,1.0,2,February,Female,Yes,"Yes, once",490.86710000000005,75.0
1.0,1.0,12,December,Male,Yes,"No, never",486.1071,75.0
1.0,1.0,2,February,Female,Yes,"No, never",539.6399,75.0
1.0,1.0,8,August,Female,Yes,"No, never",532.3934000000002,75.0
1.0,1.0,3,March,Female,Yes,"No, never",515.6902,75.0
1.0,1.0,8,August,Female,Yes,"Yes, twice or more",434.30729999999994,75.0
1.0,1.0,2,February,Male,Yes,"No, never",582.5398,75.0
1.0,0.0,1,January,Male,Yes,"No, never",588.6795999999999,443.0
1.0,1.0,10,October,Male,Yes,"No, never",546.0258,443.0
